source,id,name,date,latitude,longitude,altitude_m,mass_g,diameter_m,velocity_km_s,miss_distance_km,recclass,orbital_inclination_deg,eccentricity,epoch,x,y,z,vx,vy,vz,energy,impact_e
neo,2004947,4947 Ninkasi (1988 TJ1),1933-07-01,N/A,N/A,N/A,N/A,1036.436,7.4478980859,2528170.388358611,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004953,4953 (1990 MU),1919-11-18,N/A,N/A,N/A,N/A,4545.091,19.0153088782,18036378.617043576,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004954,4954 Eric (1990 SQ),1939-10-06,N/A,N/A,N/A,N/A,13229.475,12.5268736975,10542556.268804894,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004957,4957 Brucemurray (1990 XJ),1939-05-07,N/A,N/A,N/A,N/A,4202.838,15.328703408,11941824.568424077,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005011,5011 Ptah (6743 P-L),1902-03-31,N/A,N/A,N/A,N/A,2002.362,15.3340190147,6011156.617006361,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005131,5131 (1990 BG),1903-06-25,N/A,N/A,N/A,N/A,4650.960,25.782271739,57570319.147652346,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005143,5143 Heracles (1991 VL),1903-12-22,N/A,N/A,N/A,N/A,6630.444,6.0575970285,270323268.930849796,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005189,5189 (1990 UQ),1901-03-25,N/A,N/A,N/A,N/A,1162.901,10.9407215934,5402908.38766844,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005324,5324 Lyapunov (1987 SL),1911-08-31,N/A,N/A,N/A,N/A,3660.519,12.3930949799,27428041.281907988,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005332,5332 Davidaguilar (1990 DA),N/A,N/A,N/A,N/A,N/A,4380.691,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005370,5370 Taranis (1986 RA),2099-09-10,N/A,N/A,N/A,N/A,3868.500,13.2119140871,19827641.581375834,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005381,5381 Sekhmet (1991 JY),1908-05-16,N/A,N/A,N/A,N/A,1947.792,23.1073815979,19772805.509741179,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005496,5496 (1973 NA),1916-07-03,N/A,N/A,N/A,N/A,2532.460,38.1146524461,11447613.613563983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005587,5587 (1990 SB),1906-09-21,N/A,N/A,N/A,N/A,7170.387,3.5600831482,294494433.609922599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005590,5590 (1990 VA),1900-05-27,N/A,N/A,N/A,N/A,448.273,12.9443112777,4838845.235615849,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005604,5604 (1992 FE),1901-02-26,N/A,N/A,N/A,N/A,1437.284,14.8771271924,15099448.370037582,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005620,5620 Jasonwheeler (1990 OA),N/A,N/A,N/A,N/A,N/A,1642.641,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005626,5626 Melissabrucker (1991 FE),1928-06-27,N/A,N/A,N/A,N/A,5855.212,9.4547107436,6958019.699888217,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005645,5645 (1990 SP),1901-03-22,N/A,N/A,N/A,N/A,1540.078,19.0018757957,53640272.908961304,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005646,5646 (1990 TR),1921-09-21,N/A,N/A,N/A,N/A,3400.499,5.1390320803,45575273.207163246,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005653,5653 Camarillo (1992 WD5),1916-07-19,N/A,N/A,N/A,N/A,2452.125,8.7217308247,14848699.945116443,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005660,5660 (1974 MA),1900-07-23,N/A,N/A,N/A,N/A,3610.294,37.2393525232,47210761.345604056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005693,5693 (1993 EA),1902-01-05,N/A,N/A,N/A,N/A,1894.709,25.3294983456,20577254.412340435,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005731,5731 Zeus (1988 VP4),1926-01-25,N/A,N/A,N/A,N/A,3463.719,5.3857474709,265530115.582105065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005751,5751 Zao (1992 AC),N/A,N/A,N/A,N/A,N/A,4421.225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005786,5786 Talos (1991 RC),N/A,N/A,N/A,N/A,N/A,1597.874,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005797,5797 Bivoj (1980 AA),1954-01-22,N/A,N/A,N/A,N/A,717.039,6.5462276888,15718713.031401664,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005828,5828 (1991 AM),N/A,N/A,N/A,N/A,N/A,2764.029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005836,5836 (1993 MF),1907-09-11,N/A,N/A,N/A,N/A,4320.586,2.4751667603,263006695.599309369,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005863,5863 Tara (1983 RB),1930-08-19,N/A,N/A,N/A,N/A,2921.074,13.2336587652,36078130.789577552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005869,5869 Tanith (1988 VN4),1910-12-05,N/A,N/A,N/A,N/A,1547.186,9.6833212321,49353730.742360115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2005879,5879 Almeria (1992 CH1),1905-02-13,N/A,N/A,N/A,N/A,1292.834,11.6327168829,25530592.014114438,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2006037,6037 (1988 EG),1907-09-02,N/A,N/A,N/A,N/A,727.014,10.1965690958,24873142.137397968,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2006047,6047 (1991 TB1),1935-10-19,N/A,N/A,N/A,N/A,1162.901,21.2944486197,68292739.433842669,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2006050,6050 Miwablock (1992 AE),2011-09-02,N/A,N/A,N/A,N/A,4421.225,6.7073937766,10870276.193712682,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2006053,6053 (1993 BW3),1964-01-26,N/A,N/A,N/A,N/A,4107.169,15.7790449015,5710526.697186458,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2006063,6063 Jason (1984 KB),1901-08-24,N/A,N/A,N/A,N/A,2688.702,29.7121736225,21335019.235155585,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2006178,6178 (1986 DA),2038-04-07,N/A,N/A,N/A,N/A,3101.292,4.8577825545,29624429.579756618,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2006239,6239 Minos (1989 QF),1900-08-23,N/A,N/A,N/A,N/A,823.271,18.6113990432,29226841.884518066,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2006455,6455 (1992 HE),N/A,N/A,N/A,N/A,N/A,6569.656,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
