jd,epoch,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,distance_km
2460797.5,2025-05-02T00:00:00,3.764224698728745e+16,-1.4877489886163522e+16,750503063418188.6,17918.400211322256,37607.95944707797,4289.09635093181,4.048261007411762e+16
2460798.5,2025-05-03T00:00:00,3.777506693848152e+16,-1.459638306288509e+16,782502151515386.5,17666.43011390631,37705.385852937514,4284.013436939692,4.050459715072308e+16
2460799.5,2025-05-04T00:00:00,3.790600426764762e+16,-1.4314556565593008e+16,814462533582671.9,17414.01476393179,37800.7732289209,4278.726479222697,4.052696680516679e+16
2460800.5,2025-05-05T00:00:00,3.803505573151905e+16,-1.4032025617777386e+16,846382690616617.5,17161.175725689347,37894.12103031123,4273.236600011373,4.054971727517587e+16
2460801.5,2025-05-06T00:00:00,3.816221824757444e+16,-1.374880544591428e+16,878261112073959.8,16907.934500731655,37985.42900147871,4267.54494363386,4.057284677399514e+16
2460802.5,2025-05-07T00:00:00,3.82874888935519e+16,-1.3464911277315792e+16,910096296034882.1,16654.312523184144,38074.697173680914,4261.6526760676,4.05963534907743e+16
2460803.5,2025-05-08T00:00:00,3.841086490692836e+16,-1.3180358337996994e+16,941886749362951.0,16400.33115512869,38161.925862779906,4255.560984487197,4.0620235590958024e+16
2460804.5,2025-05-09T00:00:00,3.853234368436474e+16,-1.2895161850560118e+16,973630987861633.6,16146.011682053504,38247.11566686691,4249.271076808499,4.064449121667866e+16
2460805.5,2025-05-10T00:00:00,3.865192278111748e+16,-1.2609337032096846e+16,1005327536427438.5,15891.375308382605,38330.26746381437,4242.784181229515,4.066911848715161e+16
2460806.5,2025-05-11T00:00:00,3.876959991041696e+16,-1.2322899092109162e+16,1036974929199587.1,15636.443153076238,38411.38240874168,4236.101545768012,4.069411549907303e+16
2460807.5,2025-05-12T00:00:00,3.88853729428132e+16,-1.2035863230449404e+16,1068571709706231.2,15381.236245307067,38490.46193140721,4229.2244377967445,4.071948032701962e+16
2460808.5,2025-05-13T00:00:00,3.89992399054899e+16,-1.1748244635280058e+16,1100116431007200.9,15125.775520216128,38567.50773352114,4222.154143575494,4.0745211023850584e+16
2460809.5,2025-05-14T00:00:00,3.9111198981546744e+16,-1.146005848105392e+16,1131607655833237.8,14870.081814746081,38642.521785990466,4214.8919677814665,4.077130562111127e+16
2460810.5,2025-05-15T00:00:00,3.922124850925107e+16,-1.1171319926515032e+16,1163043956721724.8,14614.175863555081,38715.50632609295,4207.439233037673,4.079776212943852e+16
2460811.5,2025-05-16T00:00:00,3.932938698125941e+16,-1.0882044112721006e+16,1194423916148882.2,14358.07829501395,38786.46385458209,4199.797279439417,4.082457853896757e+16
2460812.5,2025-05-17T00:00:00,3.943561304380927e+16,-1.0592246161087204e+16,1225746126658426.5,14101.809627279808,38855.39713272753,4191.967464079979,4.085175281974012e+16
2460813.5,2025-05-18T00:00:00,3.953992549588211e+16,-1.030194117145322e+16,1257009190986686.0,13845.390264465947,38922.309179294505,4183.95116057467,4.087928292211369e+16
2460814.5,2025-05-19T00:00:00,3.9642323288337864e+16,-1.0011144220172164e+16,1288211722184161.5,13588.840492883783,38987.203267460165,4175.749758584835,4.0907166777171864e+16
2460815.5,2025-05-20T00:00:00,3.974280552302184e+16,-9719870358223168.0,1319352343733527.0,13332.180477380149,39050.08292167912,4167.364663341583,4.093540229713537e+16
2460816.5,2025-05-21T00:00:00,3.984137145184467e+16,-9428134609347476.0,1350429689664085.8,13075.430257759472,39110.95191447664,4158.797295168152,4.096398737577393e+16
2460817.5,2025-05-22T00:00:00,3.993802047583562e+16,-9135951968208724.0,1381442404662647.5,12818.609745289603,39169.81426321445,4150.049089005113,4.099291988881838e+16
2460818.5,2025-05-23T00:00:00,4.003275214417051e+16,-8843337398577651.0,1412389144180860.5,12561.738719308843,39226.674226774245,4141.121493932357,4.10221976943736e+16
2460819.5,2025-05-24T00:00:00,4.0125566153174296e+16,-8550305831541303.0,1443268574539015.2,12304.836823906393,39281.536302237575,4132.015972697018,4.1051818633331064e+16
2460820.5,2025-05-25T00:00:00,4.021646234529945e+16,-8256872163737932.0,1474079373026265.8,12047.923564701921,39334.40522143776,4122.734001234758,4.1081780529782056e+16
2460821.5,2025-05-26T00:00:00,4.0305440708080536e+16,-7963051255617123.0,1504820227997334.8,11791.018305721964,39385.28594757249,4113.277068200171,4.111208119143047e+16
2460822.5,2025-05-27T00:00:00,4.039250137306576e+16,-7668857929725689.0,1535489838965695.8,11534.140266351056,39434.183671707884,4103.646674494557,4.1142718410005464e+16
2460823.5,2025-05-28T00:00:00,4.047764461472623e+16,-7374306969019826.0,1566086916693232.8,11277.308518379668,39481.10380924094,4093.844332794364,4.117368996167392e+16
2460824.5,2025-05-29T00:00:00,4.056087084934335e+16,-7079413115203745.0,1596610183276393.0,11020.541983147155,39526.05199634147,4083.871567082227,4.120499360745214e+16
2460825.5,2025-05-30T00:00:00,4.064218063387544e+16,-6784191067094991.0,1627058372228839.2,10763.859428773196,39569.034086369335,4073.729912180966,4.123662709361729e+16
2460826.5,2025-05-31T00:00:00,4.072157466480374e+16,-6488655479016591.0,1657430228560641.2,10507.279467475335,39610.05614625513,4063.4209132894302,4.126858815211764e+16
2460827.5,2025-06-01T00:00:00,4.079905377695902e+16,-6192820959216413.0,1687724508854011.0,10250.820552976315,39649.124452838936,4052.9461255197753,4.130087450098231e+16
2460828.5,2025-06-02T00:00:00,4.087461894232893e+16,-5896702068313958.0,1717939981335570.5,9994.500978004928,39686.24548917596,4042.3071134362212,4.133348384472962e+16
2460829.5,2025-06-03T00:00:00,4.09482712688472e+16,-5600313317774828.0,1748075425945207.2,9738.338871889191,39721.425940827234,4031.5054505969756,4.1366413874774504e+16
2460830.5,2025-06-04T00:00:00,4.102001199916515e+16,-5303669168412876.0,1778129634401516.8,9482.352198234306,39754.672692145825,4020.5427191009253,4.139966226983456e+16
